Name,Position,Duration,Period,Period position,Return 1 Direction,Serve 1 Direction,Opponent Player Handed,Ball 3 Direction,Rally Stroke,Shot Count,Ball 5 Direction,Scoreline,Stroke Type,Finish,Serve 2 Direction,Ball 5 Stroke,Ball 4 Situation,Return 2 Direction,Point Won By,Ball 4 Direction,Tagged By,Game Score,Next...,Ball 5 Situation,Return 2 Position,FE Stroke Type,Return 1 Position,Side,Player Serving,Return Type,Return Stroke,Player Final Shot,Set,Void,End,Rally Length,Tournament Level,Ball 4 Stroke,FE Rally Stroke,Ball 3 Stroke,Tagged Player Handed,Situation,Point Lost By,Serve,Ball 3 Situation,Player Returning,Opponent Player,Tagged Player,Record,Court Surface,Let,Opponent Approach,Player Approach,Tournament,Date,Description
Point (62),614933,10233,20251024_NikolaiTingstadvsOpponent_Grenada,614933,Middle Centre,3,R,Centre BH,FH,5,Short FH,00-30,Volley,Winner,,FH,Defensive,,Target Player Point Won,Short Middle,AH,2~3,point,Attacking,,,Very Deep,Deuce,Target Player Serving,Drive,BH,Target Player Final Shot,2,,far,5 to 8,National,BH,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,Let,,Player Approach,Opponent,10102025,
Point (63),625167,4667,20251024_NikolaiTingstadvsOpponent_Grenada,625167,,Long 6,R,,,,,15-30,,Double Fault,Long 6,,,,Opponent Point Won,,AH,2~3,point,,,,,Ad,Target Player Serving,,,,2,,far,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (64),629833,15267,20251024_NikolaiTingstadvsOpponent_Grenada,629833,Middle Centre,3,R,Deep FH,FH,7,Centre Middle,15-40,Groundstroke,Unforced Error,,FH,Neutral,,Target Player Point Won,Deep FH,AH,2~3,point,Attacking,,,Very Deep,Deuce,Target Player Serving,Drive,BH,Opponent Final Shot,2,,far,5 to 8,National,FH,,FH,R,Neutral,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (65),645100,7800,20251024_NikolaiTingstadvsOpponent_Grenada,645100,Middle Short,5,R,Deep FH,FH,3,,30-40,Groundstroke,Winner,,,,,Target Player Point Won,,AH,2~3,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,2,No Ball 4,far,4,National,,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,Player Approach,Opponent,10102025,
Point (66),652900,20133,20251024_NikolaiTingstadvsOpponent_Grenada,652900,,Long 2,R,Centre Middle,FH,10,Deep Middle,40-40,Groundstroke,Unforced Error,1,FH,Attacking,Cross Deep,Opponent Point Won,Centre FH,AH,2~3,point,Neutral,,,Very Deep,Deuce,Target Player Serving,Drive,FH,Target Player Final Shot,2,,far,9+,National,FH,,FH,R,Attacking,Target Player Point Lost,Second Serve In,Neutral,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (67),673033,6567,20251024_NikolaiTingstadvsOpponent_Grenada,673033,Wide Line Centre,5,R,,,,,40-A,,Return Error,,,,,Target Player Point Won,,AH,2~3,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,,2,,far,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (68),679600,11900,20251024_NikolaiTingstadvsOpponent_Grenada,679600,Middle Centre,3,R,Centre BH,FH,4,Wide Deep FH,40-40,Groundstroke,Unforced Error,,FH,Neutral,,Opponent Point Won,Centre Middle,AH,2~3,point,Attacking,,,Very Deep,Deuce,Target Player Serving,Drive,BH,Target Player Final Shot,2,,far,4,National,BH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (69),691500,5367,20251024_NikolaiTingstadvsOpponent_Grenada,691500,Net Line,5,R,,,,,40-A,,Return Error,,,,,Target Player Point Won,,AH,2~3,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,,2,,far,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (70),696867,4233,20251024_NikolaiTingstadvsOpponent_Grenada,696867,,Wide,R,,,,,40-40,,Double Fault,Long 2,,,,Opponent Point Won,,AH,2~3,point,,,,,Deuce,Target Player Serving,,,,2,,far,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (71),701100,8733,20251024_NikolaiTingstadvsOpponent_Grenada,701100,Cross Deep,6,R,Centre BH,FH,3,,40-A,Groundstroke,Winner,,,,,Target Player Point Won,,AH,2~3,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,2,No Ball 4,far,4,National,,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (72),709833,27467,20251024_NikolaiTingstadvsOpponent_Grenada,709833,,Net 2,R,Centre Middle,FH,15,Deep FH,40-40,Volley,Unforced Error,2,FH,Neutral,Middle Centre,Target Player Point Won,Centre Middle,AH,2~3,point,Attacking,,,Very Deep,Deuce,Target Player Serving,Drive,FH,Opponent Final Shot,2,,far,9+,National,FH,,FH,R,Attacking,Opponent Point Lost,Second Serve In,Neutral,Opponent Returning,Opponent,Target Player,Point,Hard,Let,Opponent Approach,,Opponent,10102025,
Point (73),737300,7067,20251024_NikolaiTingstadvsOpponent_Grenada,737300,Middle Short,6,R,Net Middle,FH,2,,A-40,Volley,Unforced Error,,,,,Opponent Point Won,,AH,2~3,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,2,,far,4,National,,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,Player Approach,Opponent,10102025,
Point (74),744367,10433,20251024_NikolaiTingstadvsOpponent_Grenada,744367,Middle Centre,2,R,Deep Middle,BH,5,Long BH,40-40,Volley,Forced Error,,BH,Neutral,,Opponent Point Won,Centre Middle,AH,2~3,point,Attacking,,Groundstroke,Very Deep,Deuce,Target Player Serving,Block,FH,Target Player Final Shot,2,,far,5 to 8,National,FH,FH,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,Player Approach,Opponent,10102025,
Point (75),754800,15967,20251024_NikolaiTingstadvsOpponent_Grenada,754800,Line Deep,6,R,Deep Middle,FH,8,Deep Middle,40-A,Groundstroke,Unforced Error,,BH,Attacking,,Opponent Point Won,Deep BH,AH,2~3,game,Neutral,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,2,,far,5 to 8,National,FH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Defensive,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (76),770767,6200,20251024_NikolaiTingstadvsOpponent_Grenada,770767,Long Cross,1,R,,,,,00-00,,Return Error,,,,,Opponent Point Won,,AH,2~4,point,,,,Behind,Deuce,Opponent Serving,Drive,FH,,2,,near,,National,,,,R,,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (77),776967,11100,20251024_NikolaiTingstadvsOpponent_Grenada,776967,Middle Centre,6,R,Deep FH,FH,5,Short BH,00-15,Drop Shot,Winner,,FH,Defensive,,Opponent Point Won,Short Middle,AH,2~4,point,Attacking,,,Deep,Ad,Opponent Serving,Drive,BH,Opponent Final Shot,2,,near,5 to 8,National,FH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,Opponent Approach,,Opponent,10102025,
Point (78),788067,7667,20251024_NikolaiTingstadvsOpponent_Grenada,788067,Middle Centre,1,R,Net BH,FH,2,,00-30,Groundstroke,Unforced Error,,,,,Target Player Point Won,,AH,2~4,point,,,,Deep,Deuce,Opponent Serving,Drive,FH,Opponent Final Shot,2,,near,4,National,,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (79),795733,11900,20251024_NikolaiTingstadvsOpponent_Grenada,795733,Middle Centre,6,R,Centre Middle,FH,4,Wide Centre FH,15-30,Groundstroke,Unforced Error,,FH,Attacking,,Target Player Point Won,Deep Middle,AH,2~4,point,Attacking,,,Deep,Ad,Opponent Serving,Drive,BH,Opponent Final Shot,2,,near,4,National,FH,,BH,R,Attacking,Opponent Point Lost,First Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (80),807633,6667,20251024_NikolaiTingstadvsOpponent_Grenada,807633,Long Middle,3,R,,,,,30-30,,Return Error,,,,,Opponent Point Won,,AH,2~4,point,,,,Deep,Deuce,Opponent Serving,Drive,BH,,2,,near,,National,,,,R,,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (81),814300,11733,20251024_NikolaiTingstadvsOpponent_Grenada,814300,Middle Deep,5,R,Centre FH,FH,5,Centre FH,30-40,Groundstroke,Winner,,FH,Attacking,,Opponent Point Won,Centre FH,AH,2~4,game,Attacking,,,Deep,Ad,Opponent Serving,Drive,BH,Opponent Final Shot,2,,near,5 to 8,National,FH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (82),826033,7833,20251024_NikolaiTingstadvsOpponent_Grenada,826033,Net Line,1,R,,,,,00-00,,Return Error,,,,,Target Player Point Won,,AH,2~5,point,,,,Very Deep,Deuce,Target Player Serving,Drive,FH,,2,,near,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (83),833867,9333,20251024_NikolaiTingstadvsOpponent_Grenada,833867,Cross Centre,6,R,Deep Middle,FH,3,,15-00,Groundstroke,Unforced Error,,,Attacking,,Target Player Point Won,Net Middle,AH,2~5,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Opponent Final Shot,2,,near,4,National,FH,,BH,R,Attacking,Opponent Point Lost,First Serve In,Neutral,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (84),843200,5600,20251024_NikolaiTingstadvsOpponent_Grenada,843200,,Net 2,R,,,,,30-00,,Double Fault,Long 3,,,,Opponent Point Won,,AH,2~5,point,,,,,Deuce,Target Player Serving,,,,2,,near,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (85),848800,8667,20251024_NikolaiTingstadvsOpponent_Grenada,848800,,Net 6,R,Net FH,FH,2,,30-15,Groundstroke,Unforced Error,5,,,Middle Centre,Opponent Point Won,,AH,2~5,point,,Very Deep,,,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,2,,near,4,National,,,FH,R,Attacking,Target Player Point Lost,Second Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (86),857467,12500,20251024_NikolaiTingstadvsOpponent_Grenada,857467,Middle Centre,2,R,Deep Middle,FH,6,Deep Middle,30-30,Groundstroke,Forced Error,,FH,Neutral,,Target Player Point Won,Centre Middle,AH,2~5,point,Neutral,,Groundstroke,Very Deep,Deuce,Target Player Serving,Drive,FH,Opponent Final Shot,2,,near,5 to 8,National,FH,FH,FH,R,Defensive,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (87),869967,20833,20251024_NikolaiTingstadvsOpponent_Grenada,869967,Middle Short,5,R,Deep FH,FH,10,Deep Middle,40-30,Groundstroke,Unforced Error,,BH,Neutral,,Opponent Point Won,Short Middle,AH,2~5,point,Attacking,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,2,,near,9+,National,FH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (88),890800,5533,20251024_NikolaiTingstadvsOpponent_Grenada,890800,,Long 2,R,,,,,40-40,,Double Fault,Long 3,,,,Opponent Point Won,,AH,2~5,point,,,,,Deuce,Target Player Serving,,,,2,,near,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (89),896333,4600,20251024_NikolaiTingstadvsOpponent_Grenada,896333,,Net 6,R,,,,,40-A,,Double Fault,Wide,,,,Opponent Point Won,,AH,2~5,tiebreak point,,,,,Ad,Target Player Serving,,,,2,,near,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (90),900933,13900,20251024_NikolaiTingstadvsOpponent_Grenada,900933,Middle Deep,1,R,Centre Middle,BH,7,Centre FH,00:00,Groundstroke,Forced Error,,FH,Attacking,,Opponent Point Won,Centre Middle,AH,,tiebreak point,Attacking,,Groundstroke,Deep,Deuce,,Drive,FH,Target Player Final Shot,3,,far,5 to 8,National,FH,FH,BH,R,Neutral,Target Player Point Lost,First Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (91),914833,9767,20251024_NikolaiTingstadvsOpponent_Grenada,914833,Middle Centre,6,R,Deep FH,FH,4,Net BH,00:01,Half V,Forced Error,,FH,Defensive,,Opponent Point Won,Short Middle,AH,,tiebreak point,Defensive,,Groundstroke,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,3,,near,4,National,FH,FH,FH,R,Defensive,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,Player Approach,Opponent,10102025,
Point (92),924600,7200,20251024_NikolaiTingstadvsOpponent_Grenada,924600,Middle Centre,3,R,Long FH,FH,2,,00:02,Groundstroke,Unforced Error,,,,,Opponent Point Won,,AH,,tiebreak point,,,,Very Deep,Deuce,Target Player Serving,Drive,BH,Target Player Final Shot,3,,near,4,National,,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (93),931800,22367,20251024_NikolaiTingstadvsOpponent_Grenada,931800,Middle Deep,6,R,Deep BH,FH,10,Centre BH,00:03,Drop V,Winner,,FH,Neutral,,Target Player Point Won,Centre Middle,AH,,tiebreak point,Attacking,,,Very Deep,Ad,Opponent Serving,Drive,BH,Target Player Final Shot,3,,far,9+,National,BH,,FH,R,Attacking,Opponent Point Lost,First Serve In,Defensive,Target Player Returning,Opponent,Target Player,Point,Hard,,Opponent Approach,Player Approach,Opponent,10102025,
Point (94),954167,12300,20251024_NikolaiTingstadvsOpponent_Grenada,954167,Middle Centre,1,R,Centre Middle,FH,5,Centre Middle,01:03,Groundstroke,Unforced Error,,BH,Attacking,,Opponent Point Won,Centre Middle,AH,,tiebreak point,Neutral,,,Behind,Deuce,Opponent Serving,Drive,FH,Target Player Final Shot,3,,far,5 to 8,National,FH,,BH,R,Attacking,Target Player Point Lost,First Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (95),966467,9467,20251024_NikolaiTingstadvsOpponent_Grenada,966467,Cross Centre,5,R,Long BH,FH,2,,01:04,Groundstroke,Unforced Error,,,,,Opponent Point Won,,AH,,tiebreak point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,3,,near,4,National,,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (96),975933,6533,20251024_NikolaiTingstadvsOpponent_Grenada,975933,Wide Cross Centre,3,R,,,,,01:05,,Return Error,,,,,Target Player Point Won,,AH,,tiebreak point,,,,Very Deep,Deuce,Target Player Serving,Drive,BH,,3,,far,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (97),982467,7067,20251024_NikolaiTingstadvsOpponent_Grenada,982467,,Net 5,R,,,,,01:05,,Return Winner,6,,,Cross Deep,Target Player Point Won,,AH,,tiebreak point,,Behind,,,Ad,Opponent Serving,Drive,FH,,3,,near,,National,,,,R,Attacking,Opponent Point Lost,Second Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (98),989533,8367,20251024_NikolaiTingstadvsOpponent_Grenada,989533,,Net 2,R,Long FH,BH,2,,03:05,Groundstroke,Forced Error,2,,,Middle Deep,Target Player Point Won,,AH,,tiebreak point,,Behind,Groundstroke,,Deuce,Opponent Serving,Drive,FH,Opponent Final Shot,3,,near,4,National,,FH,BH,R,Neutral,Opponent Point Lost,Second Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (99),997900,8267,20251024_NikolaiTingstadvsOpponent_Grenada,997900,Middle Centre,5,R,Long Middle,FH,2,,04:05,Groundstroke,Unforced Error,,,,,Opponent Point Won,,AH,,tiebreak point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,3,,far,4,National,,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (100),1006167,27767,20251024_NikolaiTingstadvsOpponent_Grenada,1006167,Cross Deep,3,R,Centre Middle,FH,15,Centre Middle,04:06,Block,Forced Error,,FH,Attacking,,Target Player Point Won,Centre FH,AH,,tiebreak point,Neutral,,Groundstroke,Very Deep,Deuce,Target Player Serving,Drive,BH,Opponent Final Shot,3,,far,9+,National,FH,FH,FH,R,Defensive,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (101),1033933,8367,20251024_NikolaiTingstadvsOpponent_Grenada,1033933,Middle Centre,6,R,Deep FH,FH,3,,05:06,Groundstroke,Winner,,,,,Opponent Point Won,,AH,,tiebreak point,,,,Deep,Ad,Opponent Serving,Drive,BH,Opponent Final Shot,3,No Ball 4,near,4,National,,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (102),1042300,22533,20251024_NikolaiTingstadvsOpponent_Grenada,1042300,Middle Deep,1,R,Centre Middle,FH,11,Deep BH,05:07,Groundstroke,Unforced Error,,FH,Attacking,,Opponent Point Won,Centre FH,AH,,tiebreak point,Attacking,,,Behind,Deuce,Opponent Serving,Drive,FH,Target Player Final Shot,3,,far,9+,National,FH,,BH,R,Attacking,Target Player Point Lost,First Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (103),1064833,8467,20251024_NikolaiTingstadvsOpponent_Grenada,1064833,Cross Centre,5,R,Net FH,FH,2,,05:08,Groundstroke,Unforced Error,,,,,Opponent Point Won,,AH,,tiebreak point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,3,,near,4,National,,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (104),1073300,9900,20251024_NikolaiTingstadvsOpponent_Grenada,1073300,,Net 2,R,Centre Middle,FH,3,,05:09,Groundstroke,Winner,3,,,Cross Centre,Target Player Point Won,,AH,,tiebreak point,,Very Deep,,,Deuce,Target Player Serving,Drive,BH,Target Player Final Shot,3,No Ball 4,near,4,National,,,FH,R,Attacking,Opponent Point Lost,Second Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (105),1083200,27667,20251024_NikolaiTingstadvsOpponent_Grenada,1083200,Middle Deep,5,R,Centre Middle,FH,13,Deep BH,06:09,Groundstroke,Winner,,FH,Attacking,,Opponent Point Won,Centre FH,AH,,,Attacking,,,Deep,Ad,Opponent Serving,Drive,FH,Opponent Final Shot,3,,far,9+,National,FH,,BH,R,Attacking,Target Player Point Lost,First Serve In,Defensive,Target Player Returning,Opponent,Target Player,Point,Hard,,Opponent Approach,,Opponent,10102025,
